nome,eleito
WANDERLEY ALVES DE OLIVEIRA,1
AUREO LIDIO MOREIRA RIBEIRO,1
EZEQUIEL CORTAZ TEIXEIRA,1
FELIPE CATALÃO MAIA,1
WALTER PEREIRA ALVES,1
ANTÔNIO JÁCOME DE LIMA JUNIOR,1
CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,1
ZENAIDE MAIA CALADO PEREIRA DOS SANTOS,1
RAFAEL HUETE DA MOTTA,1
FÁBIO SALUSTINO MESQUITA DE FARIA,1
ROGÉRIO SIMONETTI MARINHO,1
MARCOS ROGERIO DA SILVA BRITO,1
MARINHA CÉLIA ROCHA RAUPP DE MATOS,1
LINDOMAR BARBOSA ALVES,1
LUCIO ANTONIO MOSQUINI,1
LUIZ CLAUDIO PEREIRA ALVES,1
MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,1
NILTON BALBINO,1
EXPEDITO GONÇALVES FERREIRA NETTO,1
ABEL SALVADOR MESQUITA JUNIOR,1
CARLOS AUGUSTO ANDRADE SILVA,1
EDIO VIEIRA LOPES,1
HIRAN MANUEL GONÇALVES DA SILVA,1
REMIDIO MONAI MONTESSI,1
JOHNATHAN PEREIRA DE JESUS,1
MARIA HELENA VERONESE RODRIGUES,1
SHÉRIDAN ESTERFANY OLIVEIRA DE ANCHIETA,1
ONYX DORNELLES LORENZONI,1
JOÃO DERLY DE OLIVEIRA NUNES JUNIOR,1
AFONSO ANTUNES DA MOTTA,1
DARCI POMPEO DE MATTOS,1
GIOVANI CHERINI,1
ALCEU MOREIRA DA SILVA,1
DARCISIO PAULO PERONDI,1
GIOVANI BATISTA FELTES,1
MÁRCIO DELLA VALLE BIOLCHI,1
OSMAR GASPARINI TERRA,1
JERÔNIMO PIZZOLOTTO GOERGEN,1
JOSÉ ALFONSO EBERT HAMM,1
JOSÉ OTAVIO GERMANO,1
LUIS ANTONIO FRANCISCATTO COVATTI,1
LUIS CARLOS HEINZE,1
RENATO DELMAR MOLLING,1
ANTONIO CARLOS GOMES DA SILVA,1
HEITOR JOSE SCHUCH,1
JOSE LUIZ STEDILE,1
DANRLEI DE DEUS HINTERHOLZ,1
NELSON MARCHEZAN JUNIOR,1
MARIA DO ROSÁRIO NUNES,1
DIONILSO MATEUS MARCON,1
ELVINO JOSE BOHN GASS,1
GILBERTO JOSÉ SPIER VARGAS,1
HENRIQUE FONTANA JUNIOR,1
MARCO AURÉLIO SPALL MAIA,1
PAULO ROBERTO SEVERO PIMENTA,1
LUIZ CARLOS GHIORZZI BUSATO,1
RONALDO NOGUEIRA DE OLIVEIRA,1
SÉRGIO IVAN MORAES,1
CELSO MALDANER,1
MAURO MARIANI,1
ROGERIO MENDONÇA,1
RONALDO JOSÉ BENEDET,1
VALDIR COLATTO,1
ESPERIDIÃO AMIN HELOU FILHO,1
JORGE CATARINO LEONARDELI BOEIRA,1
CARMEN EMÍLIA BONFÁ ZANOTTO,1
JORGINHO DOS SANTOS MELLO,1
CESAR ANTONIO DE SOUZA,1
JOÃO PAULO KARAM KLEINUBING,1
JOÃO RODRIGUES,1
GEOVANIA DE SA RODRIGUES,1
MARCO ANTONIO TEBALDI,1
DÉCIO NERY DE LIMA,1
PEDRO FRANCISCO UCZAI,1
FÁBIO DE ALMEIDA REIS,1
